Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Disease
bloating,mucus in stool,abdominal pain,diarrhea,constipation,gas,Irritable Bowel Syndrome
nausea,persistent pain,unexplained weight loss,loss of appetite,vomiting blood,indigestion,Stomach Cancer
gas,diarrhea,constipation,bloating,abdominal pain,mucus in stool,Irritable Bowel Syndrome
cramps,nausea,bloating,gas,diarrhea,stomach pain,Lactose Intolerance
indigestion,pain after eating,abdominal pain,shoulder pain,vomiting,nausea,Gallstones
regurgitation,trouble swallowing,heartburn,chest pain,bitter taste,dry cough,Acid Reflux
pain after eating,vomiting,indigestion,abdominal pain,nausea,shoulder pain,Gallstones
chest pain,regurgitation,bitter taste,heartburn,trouble swallowing,dry cough,Acid Reflux
dry cough,bitter taste,trouble swallowing,regurgitation,chest pain,heartburn,Acid Reflux
vomiting,bloating,nausea,indigestion,stomach pain,loss of appetite,Gastritis
burning stomach pain,indigestion,heartburn,bloating,nausea,weight loss,Peptic Ulcer
cramps,gas,bloating,nausea,diarrhea,stomach pain,Lactose Intolerance
bloating,gas,constipation,abdominal pain,mucus in stool,diarrhea,Irritable Bowel Syndrome
chest pain,dry cough,bitter taste,trouble swallowing,regurgitation,heartburn,Acid Reflux
vomiting,nausea,indigestion,pain after eating,abdominal pain,shoulder pain,Gallstones
straining,incomplete evacuation,infrequent stools,hard stools,bloating,abdominal pain,Constipation
trouble swallowing,heartburn,bitter taste,chest pain,dry cough,regurgitation,Acid Reflux
loss of appetite,bloating,vomiting,nausea,indigestion,stomach pain,Gastritis
vomiting blood,loss of appetite,unexplained weight loss,indigestion,nausea,persistent pain,Stomach Cancer
unexplained weight loss,persistent pain,indigestion,vomiting blood,nausea,loss of appetite,Stomach Cancer
indigestion,bloating,stomach pain,vomiting,nausea,loss of appetite,Gastritis
abdominal pain,diarrhea,bloating,constipation,mucus in stool,gas,Irritable Bowel Syndrome
upper abdominal pain,fever,vomiting,rapid pulse,swollen abdomen,nausea,Pancreatitis
dehydration,diarrhea,nausea,fever,stomach cramps,vomiting,Food Poisoning
unexplained weight loss,vomiting blood,persistent pain,nausea,loss of appetite,indigestion,Stomach Cancer
stomach pain,gas,bloating,cramps,diarrhea,nausea,Lactose Intolerance
burning stomach pain,indigestion,heartburn,nausea,weight loss,bloating,Peptic Ulcer
stomach pain,nausea,loss of appetite,indigestion,bloating,vomiting,Gastritis
nausea,cramps,stomach pain,bloating,gas,diarrhea,Lactose Intolerance
vomiting,nausea,diarrhea,stomach cramps,dehydration,fever,Food Poisoning
swollen abdomen,rapid pulse,upper abdominal pain,vomiting,fever,nausea,Pancreatitis
dry cough,regurgitation,bitter taste,chest pain,trouble swallowing,heartburn,Acid Reflux
nausea,rapid pulse,vomiting,swollen abdomen,upper abdominal pain,fever,Pancreatitis
unexplained weight loss,nausea,vomiting blood,loss of appetite,indigestion,persistent pain,Stomach Cancer
trouble swallowing,chest pain,dry cough,bitter taste,regurgitation,heartburn,Acid Reflux
regurgitation,bitter taste,trouble swallowing,chest pain,dry cough,heartburn,Acid Reflux
mucus in stool,abdominal pain,constipation,diarrhea,gas,bloating,Irritable Bowel Syndrome
diarrhea,fever,vomiting,dehydration,stomach cramps,nausea,Food Poisoning
nausea,fever,diarrhea,dehydration,stomach cramps,vomiting,Food Poisoning
rapid pulse,upper abdominal pain,fever,vomiting,swollen abdomen,nausea,Pancreatitis
loss of appetite,bloating,indigestion,vomiting,stomach pain,nausea,Gastritis
nausea,cramps,bloating,stomach pain,gas,diarrhea,Lactose Intolerance
stomach pain,bloating,loss of appetite,vomiting,indigestion,nausea,Gastritis
bloating,vomiting,nausea,stomach pain,indigestion,loss of appetite,Gastritis
chest pain,trouble swallowing,regurgitation,heartburn,dry cough,bitter taste,Acid Reflux
incomplete evacuation,bloating,hard stools,abdominal pain,straining,infrequent stools,Constipation
nausea,bloating,diarrhea,cramps,stomach pain,gas,Lactose Intolerance
fever,rapid pulse,upper abdominal pain,vomiting,nausea,swollen abdomen,Pancreatitis
bloating,infrequent stools,abdominal pain,straining,hard stools,incomplete evacuation,Constipation
stomach cramps,vomiting,fever,dehydration,diarrhea,nausea,Food Poisoning
stomach pain,diarrhea,cramps,gas,bloating,nausea,Lactose Intolerance
persistent pain,vomiting blood,loss of appetite,indigestion,unexplained weight loss,nausea,Stomach Cancer
mucus in stool,diarrhea,abdominal pain,constipation,bloating,gas,Irritable Bowel Syndrome
nausea,weight loss,heartburn,indigestion,bloating,burning stomach pain,Peptic Ulcer
pain after eating,indigestion,nausea,shoulder pain,vomiting,abdominal pain,Gallstones
nausea,fever,vomiting,stomach cramps,dehydration,diarrhea,Food Poisoning
abdominal pain,bloating,mucus in stool,gas,diarrhea,constipation,Irritable Bowel Syndrome
swollen abdomen,fever,rapid pulse,nausea,upper abdominal pain,vomiting,Pancreatitis
loss of appetite,indigestion,bloating,vomiting,stomach pain,nausea,Gastritis
burning stomach pain,weight loss,bloating,heartburn,indigestion,nausea,Peptic Ulcer
vomiting,nausea,indigestion,loss of appetite,bloating,stomach pain,Gastritis
cramps,gas,bloating,stomach pain,nausea,diarrhea,Lactose Intolerance
indigestion,stomach pain,loss of appetite,nausea,bloating,vomiting,Gastritis
bitter taste,regurgitation,chest pain,trouble swallowing,heartburn,dry cough,Acid Reflux
trouble swallowing,bitter taste,dry cough,heartburn,regurgitation,chest pain,Acid Reflux
shoulder pain,indigestion,abdominal pain,nausea,pain after eating,vomiting,Gallstones
nausea,unexplained weight loss,loss of appetite,indigestion,vomiting blood,persistent pain,Stomach Cancer
vomiting,bloating,loss of appetite,stomach pain,indigestion,nausea,Gastritis
indigestion,stomach pain,loss of appetite,vomiting,nausea,bloating,Gastritis
stomach pain,nausea,indigestion,bloating,vomiting,loss of appetite,Gastritis
nausea,gas,cramps,stomach pain,diarrhea,bloating,Lactose Intolerance
stomach pain,bloating,indigestion,vomiting,loss of appetite,nausea,Gastritis
swollen abdomen,rapid pulse,vomiting,upper abdominal pain,nausea,fever,Pancreatitis
unexplained weight loss,indigestion,persistent pain,vomiting blood,loss of appetite,nausea,Stomach Cancer
stomach cramps,vomiting,dehydration,diarrhea,fever,nausea,Food Poisoning
gas,constipation,mucus in stool,abdominal pain,diarrhea,bloating,Irritable Bowel Syndrome
shoulder pain,abdominal pain,indigestion,vomiting,pain after eating,nausea,Gallstones
stomach cramps,nausea,fever,vomiting,dehydration,diarrhea,Food Poisoning
incomplete evacuation,infrequent stools,abdominal pain,bloating,straining,hard stools,Constipation
cramps,stomach pain,bloating,nausea,diarrhea,gas,Lactose Intolerance
chest pain,regurgitation,bitter taste,trouble swallowing,dry cough,heartburn,Acid Reflux
rapid pulse,swollen abdomen,vomiting,upper abdominal pain,fever,nausea,Pancreatitis
vomiting blood,loss of appetite,indigestion,persistent pain,unexplained weight loss,nausea,Stomach Cancer
nausea,indigestion,pain after eating,vomiting,shoulder pain,abdominal pain,Gallstones
dry cough,trouble swallowing,regurgitation,bitter taste,heartburn,chest pain,Acid Reflux
heartburn,weight loss,nausea,bloating,burning stomach pain,indigestion,Peptic Ulcer
mucus in stool,abdominal pain,diarrhea,bloating,constipation,gas,Irritable Bowel Syndrome
diarrhea,gas,mucus in stool,bloating,abdominal pain,constipation,Irritable Bowel Syndrome
incomplete evacuation,straining,infrequent stools,bloating,abdominal pain,hard stools,Constipation
heartburn,burning stomach pain,bloating,weight loss,indigestion,nausea,Peptic Ulcer
trouble swallowing,chest pain,heartburn,bitter taste,dry cough,regurgitation,Acid Reflux
bloating,diarrhea,mucus in stool,gas,constipation,abdominal pain,Irritable Bowel Syndrome
abdominal pain,shoulder pain,pain after eating,indigestion,vomiting,nausea,Gallstones
indigestion,bloating,nausea,burning stomach pain,weight loss,heartburn,Peptic Ulcer
abdominal pain,bloating,gas,constipation,mucus in stool,diarrhea,Irritable Bowel Syndrome
dehydration,vomiting,diarrhea,nausea,stomach cramps,fever,Food Poisoning
chest pain,trouble swallowing,regurgitation,dry cough,heartburn,bitter taste,Acid Reflux
bloating,weight loss,heartburn,indigestion,burning stomach pain,nausea,Peptic Ulcer
abdominal pain,indigestion,shoulder pain,vomiting,pain after eating,nausea,Gallstones
bloating,diarrhea,abdominal pain,mucus in stool,constipation,gas,Irritable Bowel Syndrome
bitter taste,chest pain,trouble swallowing,heartburn,dry cough,regurgitation,Acid Reflux
loss of appetite,vomiting blood,unexplained weight loss,nausea,persistent pain,indigestion,Stomach Cancer
unexplained weight loss,loss of appetite,indigestion,persistent pain,vomiting blood,nausea,Stomach Cancer
dehydration,fever,nausea,stomach cramps,vomiting,diarrhea,Food Poisoning
stomach pain,nausea,loss of appetite,vomiting,bloating,indigestion,Gastritis
chest pain,trouble swallowing,bitter taste,regurgitation,heartburn,dry cough,Acid Reflux
diarrhea,abdominal pain,gas,bloating,constipation,mucus in stool,Irritable Bowel Syndrome
vomiting,upper abdominal pain,nausea,fever,swollen abdomen,rapid pulse,Pancreatitis
hard stools,straining,bloating,abdominal pain,infrequent stools,incomplete evacuation,Constipation
chest pain,dry cough,heartburn,trouble swallowing,bitter taste,regurgitation,Acid Reflux
dehydration,diarrhea,vomiting,nausea,stomach cramps,fever,Food Poisoning
mucus in stool,gas,abdominal pain,constipation,diarrhea,bloating,Irritable Bowel Syndrome
incomplete evacuation,infrequent stools,hard stools,abdominal pain,bloating,straining,Constipation
shoulder pain,pain after eating,abdominal pain,vomiting,nausea,indigestion,Gallstones
weight loss,nausea,indigestion,burning stomach pain,heartburn,bloating,Peptic Ulcer
nausea,stomach pain,indigestion,loss of appetite,bloating,vomiting,Gastritis
indigestion,nausea,bloating,burning stomach pain,weight loss,heartburn,Peptic Ulcer
stomach pain,diarrhea,bloating,cramps,gas,nausea,Lactose Intolerance
bitter taste,trouble swallowing,chest pain,dry cough,regurgitation,heartburn,Acid Reflux
nausea,indigestion,stomach pain,loss of appetite,vomiting,bloating,Gastritis
unexplained weight loss,vomiting blood,indigestion,loss of appetite,nausea,persistent pain,Stomach Cancer
loss of appetite,indigestion,nausea,unexplained weight loss,vomiting blood,persistent pain,Stomach Cancer
diarrhea,nausea,vomiting,stomach cramps,fever,dehydration,Food Poisoning
nausea,loss of appetite,vomiting,indigestion,stomach pain,bloating,Gastritis
vomiting,pain after eating,nausea,abdominal pain,indigestion,shoulder pain,Gallstones
diarrhea,fever,vomiting,dehydration,stomach cramps,nausea,Food Poisoning
abdominal pain,nausea,shoulder pain,vomiting,pain after eating,indigestion,Gallstones
nausea,stomach cramps,dehydration,vomiting,fever,diarrhea,Food Poisoning
vomiting,stomach pain,loss of appetite,indigestion,nausea,bloating,Gastritis
heartburn,regurgitation,bitter taste,dry cough,trouble swallowing,chest pain,Acid Reflux
fever,swollen abdomen,rapid pulse,upper abdominal pain,vomiting,nausea,Pancreatitis
regurgitation,trouble swallowing,chest pain,dry cough,bitter taste,heartburn,Acid Reflux
abdominal pain,hard stools,infrequent stools,incomplete evacuation,bloating,straining,Constipation
chest pain,dry cough,bitter taste,heartburn,trouble swallowing,regurgitation,Acid Reflux
swollen abdomen,fever,upper abdominal pain,nausea,vomiting,rapid pulse,Pancreatitis
diarrhea,nausea,fever,vomiting,stomach cramps,dehydration,Food Poisoning
loss of appetite,bloating,stomach pain,vomiting,nausea,indigestion,Gastritis
nausea,loss of appetite,stomach pain,indigestion,bloating,vomiting,Gastritis
diarrhea,stomach cramps,dehydration,nausea,fever,vomiting,Food Poisoning
swollen abdomen,rapid pulse,fever,vomiting,upper abdominal pain,nausea,Pancreatitis
cramps,diarrhea,gas,bloating,nausea,stomach pain,Lactose Intolerance
persistent pain,nausea,vomiting blood,unexplained weight loss,indigestion,loss of appetite,Stomach Cancer
incomplete evacuation,straining,infrequent stools,hard stools,bloating,abdominal pain,Constipation
fever,nausea,upper abdominal pain,swollen abdomen,rapid pulse,vomiting,Pancreatitis
diarrhea,stomach pain,cramps,gas,bloating,nausea,Lactose Intolerance
burning stomach pain,nausea,weight loss,heartburn,bloating,indigestion,Peptic Ulcer
heartburn,burning stomach pain,bloating,weight loss,indigestion,nausea,Peptic Ulcer
constipation,diarrhea,abdominal pain,mucus in stool,bloating,gas,Irritable Bowel Syndrome
vomiting,nausea,shoulder pain,indigestion,abdominal pain,pain after eating,Gallstones
loss of appetite,bloating,vomiting,stomach pain,indigestion,nausea,Gastritis
bloating,gas,nausea,cramps,diarrhea,stomach pain,Lactose Intolerance
rapid pulse,upper abdominal pain,nausea,swollen abdomen,fever,vomiting,Pancreatitis
bloating,abdominal pain,constipation,gas,mucus in stool,diarrhea,Irritable Bowel Syndrome
diarrhea,gas,cramps,nausea,stomach pain,bloating,Lactose Intolerance
vomiting,stomach cramps,dehydration,fever,nausea,diarrhea,Food Poisoning
heartburn,weight loss,bloating,indigestion,burning stomach pain,nausea,Peptic Ulcer
nausea,stomach pain,diarrhea,gas,bloating,cramps,Lactose Intolerance
heartburn,regurgitation,bitter taste,dry cough,chest pain,trouble swallowing,Acid Reflux
upper abdominal pain,swollen abdomen,nausea,fever,vomiting,rapid pulse,Pancreatitis
indigestion,nausea,shoulder pain,vomiting,abdominal pain,pain after eating,Gallstones
loss of appetite,nausea,persistent pain,indigestion,unexplained weight loss,vomiting blood,Stomach Cancer
cramps,bloating,diarrhea,stomach pain,gas,nausea,Lactose Intolerance
loss of appetite,persistent pain,nausea,vomiting blood,indigestion,unexplained weight loss,Stomach Cancer
gas,diarrhea,bloating,nausea,stomach pain,cramps,Lactose Intolerance
burning stomach pain,heartburn,nausea,weight loss,bloating,indigestion,Peptic Ulcer
vomiting,upper abdominal pain,rapid pulse,nausea,fever,swollen abdomen,Pancreatitis
mucus in stool,gas,constipation,bloating,abdominal pain,diarrhea,Irritable Bowel Syndrome
stomach cramps,nausea,vomiting,dehydration,fever,diarrhea,Food Poisoning
nausea,vomiting blood,loss of appetite,unexplained weight loss,persistent pain,indigestion,Stomach Cancer
bloating,constipation,diarrhea,gas,abdominal pain,mucus in stool,Irritable Bowel Syndrome
persistent pain,nausea,vomiting blood,unexplained weight loss,indigestion,loss of appetite,Stomach Cancer
mucus in stool,diarrhea,constipation,abdominal pain,bloating,gas,Irritable Bowel Syndrome
bitter taste,heartburn,regurgitation,chest pain,dry cough,trouble swallowing,Acid Reflux
persistent pain,nausea,indigestion,unexplained weight loss,vomiting blood,loss of appetite,Stomach Cancer
nausea,swollen abdomen,vomiting,fever,upper abdominal pain,rapid pulse,Pancreatitis
nausea,vomiting,loss of appetite,bloating,indigestion,stomach pain,Gastritis
vomiting,shoulder pain,abdominal pain,nausea,indigestion,pain after eating,Gallstones
trouble swallowing,bitter taste,dry cough,chest pain,heartburn,regurgitation,Acid Reflux
indigestion,bloating,loss of appetite,vomiting,stomach pain,nausea,Gastritis
fever,nausea,diarrhea,dehydration,stomach cramps,vomiting,Food Poisoning
vomiting blood,persistent pain,loss of appetite,unexplained weight loss,nausea,indigestion,Stomach Cancer
indigestion,nausea,persistent pain,loss of appetite,unexplained weight loss,vomiting blood,Stomach Cancer
hard stools,abdominal pain,incomplete evacuation,bloating,infrequent stools,straining,Constipation
vomiting,fever,diarrhea,stomach cramps,dehydration,nausea,Food Poisoning
heartburn,weight loss,indigestion,nausea,bloating,burning stomach pain,Peptic Ulcer
stomach pain,loss of appetite,indigestion,nausea,vomiting,bloating,Gastritis
nausea,indigestion,bloating,stomach pain,loss of appetite,vomiting,Gastritis
vomiting,stomach pain,nausea,bloating,loss of appetite,indigestion,Gastritis
stomach pain,loss of appetite,nausea,indigestion,bloating,vomiting,Gastritis
bitter taste,regurgitation,dry cough,chest pain,trouble swallowing,heartburn,Acid Reflux
heartburn,trouble swallowing,dry cough,bitter taste,regurgitation,chest pain,Acid Reflux
burning stomach pain,heartburn,bloating,weight loss,indigestion,nausea,Peptic Ulcer
straining,infrequent stools,incomplete evacuation,abdominal pain,hard stools,bloating,Constipation
hard stools,incomplete evacuation,bloating,straining,infrequent stools,abdominal pain,Constipation
heartburn,dry cough,bitter taste,trouble swallowing,regurgitation,chest pain,Acid Reflux
chest pain,dry cough,trouble swallowing,regurgitation,bitter taste,heartburn,Acid Reflux
dehydration,stomach cramps,vomiting,diarrhea,fever,nausea,Food Poisoning
nausea,vomiting blood,unexplained weight loss,indigestion,loss of appetite,persistent pain,Stomach Cancer
indigestion,persistent pain,loss of appetite,nausea,vomiting blood,unexplained weight loss,Stomach Cancer
diarrhea,dehydration,fever,vomiting,stomach cramps,nausea,Food Poisoning
straining,infrequent stools,hard stools,bloating,abdominal pain,incomplete evacuation,Constipation
straining,hard stools,infrequent stools,bloating,incomplete evacuation,abdominal pain,Constipation
heartburn,regurgitation,dry cough,chest pain,trouble swallowing,bitter taste,Acid Reflux
unexplained weight loss,loss of appetite,indigestion,nausea,persistent pain,vomiting blood,Stomach Cancer
diarrhea,nausea,gas,stomach pain,cramps,bloating,Lactose Intolerance
nausea,indigestion,vomiting,loss of appetite,stomach pain,bloating,Gastritis
dehydration,fever,nausea,diarrhea,stomach cramps,vomiting,Food Poisoning
burning stomach pain,nausea,weight loss,bloating,indigestion,heartburn,Peptic Ulcer
bloating,indigestion,vomiting,stomach pain,nausea,loss of appetite,Gastritis
diarrhea,constipation,mucus in stool,bloating,gas,abdominal pain,Irritable Bowel Syndrome
bloating,stomach pain,loss of appetite,indigestion,vomiting,nausea,Gastritis
vomiting,nausea,upper abdominal pain,swollen abdomen,fever,rapid pulse,Pancreatitis
burning stomach pain,nausea,heartburn,bloating,weight loss,indigestion,Peptic Ulcer
bloating,loss of appetite,stomach pain,vomiting,indigestion,nausea,Gastritis
unexplained weight loss,persistent pain,nausea,vomiting blood,indigestion,loss of appetite,Stomach Cancer
diarrhea,cramps,bloating,gas,nausea,stomach pain,Lactose Intolerance
burning stomach pain,indigestion,bloating,nausea,heartburn,weight loss,Peptic Ulcer
loss of appetite,stomach pain,nausea,bloating,indigestion,vomiting,Gastritis
indigestion,nausea,shoulder pain,abdominal pain,vomiting,pain after eating,Gallstones
stomach pain,gas,cramps,diarrhea,bloating,nausea,Lactose Intolerance
bloating,burning stomach pain,weight loss,indigestion,heartburn,nausea,Peptic Ulcer
diarrhea,cramps,bloating,nausea,stomach pain,gas,Lactose Intolerance
heartburn,nausea,weight loss,indigestion,bloating,burning stomach pain,Peptic Ulcer
nausea,vomiting,rapid pulse,fever,upper abdominal pain,swollen abdomen,Pancreatitis
loss of appetite,nausea,vomiting blood,persistent pain,indigestion,unexplained weight loss,Stomach Cancer
nausea,gas,bloating,diarrhea,stomach pain,cramps,Lactose Intolerance
bitter taste,trouble swallowing,dry cough,regurgitation,chest pain,heartburn,Acid Reflux
heartburn,burning stomach pain,nausea,bloating,weight loss,indigestion,Peptic Ulcer
unexplained weight loss,nausea,indigestion,loss of appetite,persistent pain,vomiting blood,Stomach Cancer
rapid pulse,vomiting,swollen abdomen,nausea,fever,upper abdominal pain,Pancreatitis
vomiting,indigestion,shoulder pain,nausea,abdominal pain,pain after eating,Gallstones
nausea,indigestion,vomiting,abdominal pain,pain after eating,shoulder pain,Gallstones
nausea,unexplained weight loss,persistent pain,vomiting blood,loss of appetite,indigestion,Stomach Cancer
dehydration,stomach cramps,nausea,diarrhea,fever,vomiting,Food Poisoning
bloating,nausea,indigestion,vomiting,stomach pain,loss of appetite,Gastritis
stomach cramps,vomiting,dehydration,fever,nausea,diarrhea,Food Poisoning
straining,hard stools,abdominal pain,incomplete evacuation,infrequent stools,bloating,Constipation
loss of appetite,stomach pain,nausea,vomiting,indigestion,bloating,Gastritis
gas,nausea,stomach pain,bloating,diarrhea,cramps,Lactose Intolerance
nausea,indigestion,unexplained weight loss,vomiting blood,loss of appetite,persistent pain,Stomach Cancer
stomach pain,nausea,indigestion,bloating,loss of appetite,vomiting,Gastritis
loss of appetite,indigestion,bloating,vomiting,stomach pain,nausea,Gastritis
fever,nausea,dehydration,vomiting,diarrhea,stomach cramps,Food Poisoning
mucus in stool,bloating,diarrhea,abdominal pain,constipation,gas,Irritable Bowel Syndrome
gas,bloating,nausea,stomach pain,diarrhea,cramps,Lactose Intolerance
fever,vomiting,nausea,rapid pulse,swollen abdomen,upper abdominal pain,Pancreatitis
loss of appetite,vomiting,stomach pain,indigestion,nausea,bloating,Gastritis
nausea,fever,rapid pulse,upper abdominal pain,swollen abdomen,vomiting,Pancreatitis
nausea,bloating,loss of appetite,vomiting,indigestion,stomach pain,Gastritis
indigestion,bloating,stomach pain,loss of appetite,vomiting,nausea,Gastritis
pain after eating,nausea,vomiting,abdominal pain,indigestion,shoulder pain,Gallstones
pain after eating,nausea,abdominal pain,vomiting,indigestion,shoulder pain,Gallstones
burning stomach pain,heartburn,indigestion,weight loss,bloating,nausea,Peptic Ulcer
bitter taste,trouble swallowing,chest pain,regurgitation,dry cough,heartburn,Acid Reflux
nausea,diarrhea,vomiting,dehydration,stomach cramps,fever,Food Poisoning
incomplete evacuation,bloating,hard stools,abdominal pain,infrequent stools,straining,Constipation
nausea,unexplained weight loss,loss of appetite,indigestion,persistent pain,vomiting blood,Stomach Cancer
hard stools,infrequent stools,bloating,abdominal pain,incomplete evacuation,straining,Constipation
incomplete evacuation,infrequent stools,hard stools,bloating,abdominal pain,straining,Constipation
unexplained weight loss,loss of appetite,indigestion,nausea,persistent pain,vomiting blood,Stomach Cancer
indigestion,loss of appetite,persistent pain,unexplained weight loss,vomiting blood,nausea,Stomach Cancer
unexplained weight loss,indigestion,nausea,loss of appetite,vomiting blood,persistent pain,Stomach Cancer
nausea,diarrhea,cramps,gas,stomach pain,bloating,Lactose Intolerance
indigestion,bloating,nausea,burning stomach pain,weight loss,heartburn,Peptic Ulcer
vomiting,indigestion,pain after eating,abdominal pain,shoulder pain,nausea,Gallstones
indigestion,unexplained weight loss,persistent pain,loss of appetite,nausea,vomiting blood,Stomach Cancer
weight loss,nausea,bloating,burning stomach pain,heartburn,indigestion,Peptic Ulcer
weight loss,burning stomach pain,heartburn,nausea,indigestion,bloating,Peptic Ulcer
bloating,infrequent stools,straining,hard stools,incomplete evacuation,abdominal pain,Constipation
bloating,weight loss,heartburn,indigestion,nausea,burning stomach pain,Peptic Ulcer
bloating,constipation,gas,diarrhea,mucus in stool,abdominal pain,Irritable Bowel Syndrome
rapid pulse,swollen abdomen,upper abdominal pain,fever,vomiting,nausea,Pancreatitis
dry cough,trouble swallowing,regurgitation,heartburn,bitter taste,chest pain,Acid Reflux
persistent pain,vomiting blood,indigestion,unexplained weight loss,nausea,loss of appetite,Stomach Cancer
diarrhea,stomach pain,nausea,cramps,bloating,gas,Lactose Intolerance
nausea,indigestion,loss of appetite,persistent pain,vomiting blood,unexplained weight loss,Stomach Cancer
bloating,diarrhea,abdominal pain,constipation,mucus in stool,gas,Irritable Bowel Syndrome
rapid pulse,upper abdominal pain,vomiting,nausea,fever,swollen abdomen,Pancreatitis
swollen abdomen,vomiting,nausea,rapid pulse,upper abdominal pain,fever,Pancreatitis
hard stools,straining,incomplete evacuation,abdominal pain,bloating,infrequent stools,Constipation
bloating,gas,stomach pain,nausea,diarrhea,cramps,Lactose Intolerance
heartburn,indigestion,nausea,weight loss,burning stomach pain,bloating,Peptic Ulcer
unexplained weight loss,loss of appetite,nausea,persistent pain,vomiting blood,indigestion,Stomach Cancer
dehydration,diarrhea,stomach cramps,vomiting,fever,nausea,Food Poisoning
bloating,indigestion,loss of appetite,vomiting,nausea,stomach pain,Gastritis
unexplained weight loss,indigestion,vomiting blood,persistent pain,loss of appetite,nausea,Stomach Cancer
upper abdominal pain,vomiting,swollen abdomen,nausea,fever,rapid pulse,Pancreatitis
vomiting blood,indigestion,loss of appetite,unexplained weight loss,nausea,persistent pain,Stomach Cancer
diarrhea,cramps,gas,nausea,stomach pain,bloating,Lactose Intolerance
fever,nausea,vomiting,swollen abdomen,upper abdominal pain,rapid pulse,Pancreatitis
nausea,burning stomach pain,indigestion,bloating,weight loss,heartburn,Peptic Ulcer
weight loss,burning stomach pain,heartburn,nausea,indigestion,bloating,Peptic Ulcer
vomiting,pain after eating,nausea,indigestion,shoulder pain,abdominal pain,Gallstones
nausea,gas,stomach pain,bloating,diarrhea,cramps,Lactose Intolerance
swollen abdomen,nausea,vomiting,upper abdominal pain,rapid pulse,fever,Pancreatitis
bloating,weight loss,indigestion,burning stomach pain,nausea,heartburn,Peptic Ulcer
bloating,constipation,abdominal pain,gas,diarrhea,mucus in stool,Irritable Bowel Syndrome
vomiting,nausea,upper abdominal pain,fever,rapid pulse,swollen abdomen,Pancreatitis
upper abdominal pain,fever,vomiting,swollen abdomen,nausea,rapid pulse,Pancreatitis
burning stomach pain,nausea,bloating,weight loss,indigestion,heartburn,Peptic Ulcer
loss of appetite,indigestion,nausea,bloating,vomiting,stomach pain,Gastritis
diarrhea,nausea,vomiting,fever,stomach cramps,dehydration,Food Poisoning
nausea,indigestion,bloating,stomach pain,loss of appetite,vomiting,Gastritis
loss of appetite,indigestion,stomach pain,bloating,nausea,vomiting,Gastritis
stomach pain,indigestion,vomiting,bloating,nausea,loss of appetite,Gastritis
bloating,gas,abdominal pain,mucus in stool,constipation,diarrhea,Irritable Bowel Syndrome
dry cough,trouble swallowing,bitter taste,chest pain,heartburn,regurgitation,Acid Reflux
weight loss,burning stomach pain,heartburn,bloating,indigestion,nausea,Peptic Ulcer
burning stomach pain,heartburn,bloating,indigestion,weight loss,nausea,Peptic Ulcer
loss of appetite,vomiting,bloating,indigestion,stomach pain,nausea,Gastritis
upper abdominal pain,vomiting,swollen abdomen,nausea,rapid pulse,fever,Pancreatitis
nausea,swollen abdomen,upper abdominal pain,fever,vomiting,rapid pulse,Pancreatitis
stomach pain,indigestion,vomiting,nausea,loss of appetite,bloating,Gastritis
incomplete evacuation,abdominal pain,straining,bloating,infrequent stools,hard stools,Constipation
indigestion,burning stomach pain,nausea,bloating,weight loss,heartburn,Peptic Ulcer
gas,bloating,mucus in stool,abdominal pain,diarrhea,constipation,Irritable Bowel Syndrome
burning stomach pain,nausea,indigestion,heartburn,weight loss,bloating,Peptic Ulcer
nausea,vomiting,fever,diarrhea,dehydration,stomach cramps,Food Poisoning
swollen abdomen,vomiting,upper abdominal pain,rapid pulse,fever,nausea,Pancreatitis
dry cough,regurgitation,chest pain,heartburn,bitter taste,trouble swallowing,Acid Reflux
straining,infrequent stools,hard stools,abdominal pain,incomplete evacuation,bloating,Constipation
pain after eating,nausea,indigestion,abdominal pain,shoulder pain,vomiting,Gallstones
vomiting,bloating,nausea,loss of appetite,stomach pain,indigestion,Gastritis
swollen abdomen,rapid pulse,upper abdominal pain,vomiting,fever,nausea,Pancreatitis
bloating,constipation,abdominal pain,mucus in stool,gas,diarrhea,Irritable Bowel Syndrome
nausea,bloating,gas,diarrhea,cramps,stomach pain,Lactose Intolerance
nausea,fever,upper abdominal pain,vomiting,swollen abdomen,rapid pulse,Pancreatitis
trouble swallowing,chest pain,bitter taste,dry cough,heartburn,regurgitation,Acid Reflux
fever,swollen abdomen,rapid pulse,nausea,vomiting,upper abdominal pain,Pancreatitis
loss of appetite,vomiting blood,nausea,indigestion,unexplained weight loss,persistent pain,Stomach Cancer
indigestion,shoulder pain,abdominal pain,nausea,vomiting,pain after eating,Gallstones
bloating,weight loss,nausea,heartburn,indigestion,burning stomach pain,Peptic Ulcer
fever,upper abdominal pain,swollen abdomen,vomiting,nausea,rapid pulse,Pancreatitis
diarrhea,nausea,cramps,gas,stomach pain,bloating,Lactose Intolerance
burning stomach pain,weight loss,nausea,indigestion,bloating,heartburn,Peptic Ulcer
stomach cramps,vomiting,fever,diarrhea,dehydration,nausea,Food Poisoning
loss of appetite,nausea,persistent pain,indigestion,vomiting blood,unexplained weight loss,Stomach Cancer
constipation,abdominal pain,bloating,diarrhea,gas,mucus in stool,Irritable Bowel Syndrome
